Year,Month,SensorName,Snow Water Equivalent (in),Precipitation Accumulation (in),Air Temperature Maximum (degF),Air Temperature Minimum (degF),Air Temperature Average (degF),Precipitation Increment (in),WeekNum
1980,10,Surprise Lakes,0.0,0.203225806452,32.0,32.0,32.0,0.0322580645161,1.06451612903
1980,11,Surprise Lakes,0.534482758621,9.9,32.0,32.0,32.0,0.562068965517,1.06896551724
1980,12,Sheep Canyon,19.4142857143,32.0,32.0,32.0,1.10476190476,,1.0
1980,12,Surprise Lakes,6.52666666667,21.9166666667,32.0,32.0,32.0,0.29,1.06666666667
1981,1,Sheep Canyon,36.2052631579,32.0,32.0,32.0,0.0842105263158,,1.94736842105
1981,1,Surprise Lakes,4.35806451613,28.3096774194,32.0,32.0,32.0,0.11935483871,2.54838709677
1981,10,Lone Pine,0.205,7.17,40.9,33.85,36.8,0.56,1.1
1981,10,Surprise Lakes,0.0,6.03,27.5,27.5,27.5,0.225,1.0
1981,11,Lone Pine,1.41666666667,18.6433333333,32.0,32.0,32.0,0.403333333333,1.06666666667
1981,11,Surprise Lakes,3.12,15.1766666667,32.0,32.0,32.0,0.47,1.06666666667
1981,12,Lone Pine,12.0451612903,37.2516129032,32.0,32.0,32.0,0.564516129032,1.06451612903
1981,12,Surprise Lakes,16.9318181818,35.1681818182,32.0,32.0,32.0,0.968181818182,1.09090909091
1981,2,Sheep Canyon,49.4846153846,32.0,32.0,32.0,0.742307692308,,2.5
1981,2,Surprise Lakes,7.65,32.3785714286,32.0,32.0,32.0,0.175,2.39285714286
1981,3,Sheep Canyon,63.2863636364,32.0,32.0,32.0,0.359090909091,,2.54545454545
1981,3,Surprise Lakes,7.44838709677,39.6419354839,32.0,32.0,32.0,0.325806451613,2.54838709677
1981,4,Sheep Canyon,70.98,32.0,32.0,32.0,0.6,,1.0
1981,4,Surprise Lakes,12.7310344828,49.4103448276,32.0,32.0,32.0,0.28275862069,2.44827586207
1981,5,Sheep Canyon,86.852,32.0,32.0,32.0,0.204,,2.84
1981,5,Surprise Lakes,4.53666666667,56.2266666667,32.0,32.0,32.0,0.166666666667,2.6
1981,6,Sheep Canyon,90.2923076923,32.0,32.0,32.0,0.146153846154,,1.46153846154
1981,6,Surprise Lakes,0.0,63.9766666667,32.0,32.0,32.0,0.296666666667,2.5
1981,7,Sheep Canyon,96.54,32.0,32.0,32.0,0.02,,3.7
1981,7,Surprise Lakes,0.0,71.1733333333,32.0,32.0,32.0,0.136666666667,2.6
1981,8,Sheep Canyon,96.6533333333,32.0,32.0,32.0,0.0233333333333,,2.5
1981,8,Surprise Lakes,0.0,73.5433333333,32.0,32.0,32.0,0.0366666666667,2.5
1981,9,Surprise Lakes,0.0,75.6576923077,32.0,32.0,32.0,0.142307692308,2.57692307692
1982,1,Lone Pine,26.1,46.3928571429,29.5714285714,25.1785714286,27.3214285714,0.0785714285714,2.57142857143
1982,1,Surprise Lakes,37.0344827586,53.5551724138,10.0689655172,6.44827586207,5.86206896552,0.51724137931,2.51724137931
1982,10,Lone Pine,0.166666666667,3.78333333333,41.3333333333,31.6666666667,37.2083333333,0.433333333333,1.0
1982,10,Sheep Canyon,5.00333333333,49.2666666667,38.1,43.1333333333,0.516666666667,,1.06666666667
1982,10,Surprise Lakes,0.371428571429,3.52142857143,26.0714285714,14.3571428571,19.7857142857,0.764285714286,1.07142857143
1982,11,Lone Pine,3.43157894737,13.9947368421,28.8421052632,18.4736842105,25.4736842105,0.510526315789,1.05263157895
1982,11,Sheep Canyon,22.42,39.2666666667,28.7333333333,33.3,0.543333333333,,1.06666666667
1982,11,Surprise Lakes,4.07777777778,13.6333333333,20.7777777778,8.33333333333,13.2222222222,1.1,1.0
1982,12,Sheep Canyon,46.2310344828,35.0689655172,26.5862068966,30.5862068966,0.824137931034,,1.06896551724
1982,12,Surprise Lakes,14.525,36.35,1.75,-22.9166666667,-15.5,1.73333333333,1.0
1982,2,Lone Pine,40.0086956522,62.6652173913,28.0,19.5652173913,23.7826086957,1.14782608696,2.26086956522
1982,2,Surprise Lakes,51.0607142857,74.825,13.3214285714,-2.64285714286,3.57142857143,0.728571428571,2.39285714286
1982,3,Lone Pine,48.5214285714,88.9321428571,30.5357142857,18.5,24.8214285714,0.317857142857,2.57142857143
1982,3,Surprise Lakes,57.2294117647,91.1235294118,21.5882352941,4.17647058824,10.1764705882,0.482352941176,1.82352941176
1982,4,Lone Pine,58.7592592593,96.6851851852,-0.185185185185,-10.1111111111,-3.33703703704,0.246153846154,2.44444444444
1982,4,Surprise Lakes,64.8814814815,104.62962963,36.0,15.8148148148,24.6296296296,0.422222222222,2.44444444444
1982,5,Lone Pine,59.4090909091,101.25,40.6818181818,29.5454545455,34.5454545455,0.05,2.0
1982,5,Surprise Lakes,60.6260869565,110.747826087,45.7391304348,26.5217391304,34.6956521739,0.1,2.04347826087
1982,6,Lone Pine,12.1,102.0,-58.0,-58.0,-58.0,0.0,3.0
1982,6,Surprise Lakes,20.0,112.1,63.0,40.0,51.0,0.0,3.0
1982,7,Lone Pine,0.0,104.9,33.75,21.75,27.0,0.375,3.75
1982,7,Surprise Lakes,0.0,114.5,58.5,31.5,44.5,0.5,4.0
1982,8,Lone Pine,0.0,106.99,61.8,47.2,53.85,0.03,2.35
1982,8,Surprise Lakes,0.0,115.61,31.1,8.3,18.8,0.09,2.3
1982,9,Lone Pine,0.0,110.80952381,53.2380952381,40.1904761905,46.380952381,0.166666666667,2.52380952381
1982,9,Surprise Lakes,0.0,119.1,47.7272727273,23.5454545455,35.0,0.172727272727,2.45454545455
1983,1,Lone Pine,25.8533333333,60.3866666667,30.7333333333,24.6666666667,27.8666666667,0.273333333333,2.66666666667
1983,1,Sheep Canyon,71.4666666667,40.5666666667,31.4,35.7666666667,0.836666666667,,2.5
1983,1,Surprise Lakes,25.0214285714,58.1,15.1428571429,7.35714285714,10.5714285714,0.321428571429,2.71428571429
1983,10,Fish Lake,0.0,0.774193548387,32.0,32.0,32.0,0.0741935483871,1.06451612903
1983,10,Grouse Camp,0.0,0.00322580645161,32.0,32.0,32.0,0.00645161290323,1.06451612903
1983,10,Sheep Canyon,0.0,1.37307692308,51.3461538462,37.3461538462,44.1538461538,0.188461538462,1.07692307692
1983,10,Spencer Meadow,0.0,0.807407407407,50.2962962963,24.0,37.0,0.114814814815,1.07407407407
1983,10,Surprise Lakes,0.0,1.37333333333,31.9333333333,15.6333333333,21.4933333333,0.1,1.06666666667
1983,11,Fish Lake,3.43333333333,11.54,32.0,32.0,32.0,0.523333333333,1.06666666667
1983,11,Grouse Camp,3.77,5.6,32.0,32.0,32.0,0.36,1.06666666667
1983,11,Sheep Canyon,5.03703703704,28.4777777778,37.8148148148,30.3333333333,33.3333333333,1.12222222222,1.07407407407
1983,11,Spencer Meadow,1.69230769231,19.4692307692,36.3461538462,21.3076923077,30.5807692308,1.156,1.07692307692
1983,11,Surprise Lakes,5.41666666667,19.3833333333,27.9666666667,20.9333333333,23.9666666667,0.916666666667,1.06666666667
1983,12,Fish Lake,12.3677419355,21.7419354839,32.0,32.0,32.0,0.258064516129,1.06451612903
1983,12,Grouse Camp,11.1,13.2266666667,32.0,32.0,32.0,0.153333333333,1.06666666667
1983,12,Sheep Canyon,15.284,49.248,31.6,22.56,27.28,0.504,1.04
1983,12,Spencer Meadow,9.725,39.8083333333,31.9166666667,17.0833333333,25.025,0.818181818182,1.08333333333
1983,12,Surprise Lakes,21.4517241379,38.4068965517,19.0689655172,10.1724137931,14.3103448276,0.475862068966,1.06896551724
1983,2,Lone Pine,33.45,75.02,33.5,32.9,33.8,0.51,2.4
1983,2,Sheep Canyon,90.8,38.0909090909,36.9090909091,37.4545454545,0.636363636364,,2.72727272727
1983,2,Surprise Lakes,40.28,73.18,38.3,36.3,53.4,0.51,2.4
1983,3,Lone Pine,40.7727272727,94.9181818182,32.4545454545,32.5454545455,29.1,1.09,3.27272727273
1983,3,Sheep Canyon,112.892307692,32.0,31.9230769231,31.7692307692,0.576923076923,,2.53846153846
1983,3,Surprise Lakes,50.6916666667,91.3333333333,32.0,32.0,32.0,0.875,3.33333333333
1983,4,Lone Pine,45.36,103.426666667,31.8333333333,32.0,32.3333333333,0.0966666666667,2.5
1983,4,Sheep Canyon,129.103333333,38.2333333333,32.0666666667,34.9333333333,0.133333333333,,2.5
1983,4,Surprise Lakes,56.4655172414,101.648275862,32.0,32.0,32.0,0.141379310345,2.48275862069
1983,5,Lone Pine,36.0967741935,107.841935484,32.0,32.0,32.0,0.145161290323,2.54838709677
1983,5,Sheep Canyon,135.025806452,41.4516129032,31.7419354839,35.7419354839,0.190322580645,,2.54838709677
1983,5,Surprise Lakes,41.2709677419,108.229032258,32.0,32.0,32.0,0.212903225806,2.54838709677
1983,6,Lone Pine,7.96333333333,110.503333333,32.0,32.0,32.0,0.0933333333333,2.5
1983,6,Sheep Canyon,139.84137931,39.4482758621,27.5172413793,32.0344827586,0.2,,2.48275862069
1983,6,Surprise Lakes,2.99666666667,112.176666667,32.0,32.0,32.0,0.143333333333,2.5
1983,7,Lone Pine,0.0,113.203571429,32.0,32.0,32.0,0.0607142857143,2.53571428571
1983,7,Sheep Canyon,148.14516129,48.1935483871,34.3225806452,39.6451612903,0.187096774194,,2.54838709677
1983,7,Surprise Lakes,0.0,116.351612903,32.0,32.0,32.0,0.0870967741935,2.54838709677
1983,8,Lone Pine,0.0,114.103448276,32.0,32.0,32.0,0.113793103448,2.51724137931
1983,8,Sheep Canyon,150.074193548,55.5806451613,39.5806451613,47.2258064516,0.129032258065,,2.54838709677
1983,8,Surprise Lakes,0.0,117.593333333,32.0,32.0,32.0,0.113333333333,2.5
1983,9,Grouse Camp,0.0,45.6,32.0,32.0,32.0,0.0,4.0
1983,9,Lone Pine,0.0,118.710714286,32.7142857143,32.0714285714,32.3571428571,0.0857142857143,2.57142857143
1983,9,Sheep Canyon,155.983333333,53.1,40.6,46.4666666667,0.126666666667,,2.5
1983,9,Surprise Lakes,0.0,121.190909091,32.0909090909,30.4545454545,31.0,0.218181818182,1.54545454545
1984,1,Fish Lake,18.9032258065,30.6064516129,32.0,32.0,32.0,0.303225806452,2.54838709677
1984,1,Grouse Camp,11.9931034483,17.0,32.0,32.0,32.0,0.0724137931034,2.51724137931
1984,1,Sheep Canyon,16.5,62.6222222222,40.4444444444,29.6666666667,34.2222222222,0.496296296296,2.44444444444
1984,1,Spencer Meadow,11.8181818182,53.6863636364,41.9545454545,21.4545454545,31.3045454545,0.405263157895,2.63636363636
1984,1,Surprise Lakes,30.4133333333,50.9533333333,30.2333333333,20.7666666667,24.9666666667,0.41,2.56666666667
1984,10,Grouse Camp,0.0666666666667,0.748148148148,38.4444444444,5.07407407407,28.8888888889,0.0592592592593,1.03703703704
1984,10,Lone Pine,0.172,4.792,47.96,39.8,43.4,0.252,1.04
1984,10,Sasse Ridge,1.08461538462,2.33461538462,39.5,26.7307692308,31.2692307692,0.226923076923,1.03846153846
1984,10,Sheep Canyon,1.01304347826,6.35217391304,44.7826086957,33.5652173913,38.2173913043,0.247826086957,1.04347826087
1984,10,Spencer Meadow,4.15416666667,42.75,9.625,33.125,0.2625,,1.04166666667
1984,10,Surprise Lakes,1.18064516129,4.84838709677,64.3870967742,50.935483871,56.6451612903,0.38064516129,1.06451612903
1984,11,Grouse Camp,4.08,5.77333333333,28.9666666667,-2.03333333333,21.7,0.233333333333,1.06666666667
1984,11,June Lake,11.2636363636,35.1,33.3636363636,28.3636363636,27.8727272727,0.72,1.0
1984,11,Lone Pine,7.36333333333,21.3133333333,37.5333333333,33.4666666667,35.5333333333,0.696666666667,1.06666666667
1984,11,Sasse Ridge,9.63703703704,12.3259259259,29.2592592593,17.5555555556,23.6666666667,0.318518518519,1.07407407407
1984,11,Sheep Canyon,7.16428571429,25.8285714286,38.3214285714,29.9285714286,33.6785714286,0.789285714286,1.07142857143
1984,11,Spencer Meadow,21.8923076923,34.4230769231,2.34615384615,28.2692307692,0.742307692308,,1.07692307692
1984,11,Surprise Lakes,14.4133333333,23.8066666667,57.2666666667,47.3666666667,50.9,0.796666666667,1.06666666667
1984,12,Grouse Camp,8.56774193548,10.1064516129,23.9032258065,-16.9677419355,15.1290322581,0.112903225806,1.06451612903
1984,12,June Lake,22.4083333333,51.9666666667,33.1666666667,24.375,29.0,0.9875,1.08333333333
1984,12,Lone Pine,18.5322580645,34.0290322581,31.5161290323,22.935483871,26.5935483871,0.234482758621,1.06451612903
1984,12,Sasse Ridge,13.6,16.3,22.0,4.0,14.0,0.0,1.0
1984,12,Sheep Canyon,22.5551724138,42.3689655172,33.0689655172,23.1379310345,28.1724137931,0.524137931034,1.06896551724
1984,12,Spencer Meadow,35.0375,28.75,-15.4375,22.375,0.50625,,1.125
1984,12,Surprise Lakes,33.5774193548,41.2225806452,27.4516129032,15.3548387097,21.0322580645,0.448387096774,1.06451612903
1984,2,Fish Lake,22.0689655172,37.3310344828,32.0,32.0,32.0,0.158620689655,2.44827586207
1984,2,Grouse Camp,14.3037037037,19.5888888889,32.0,32.0,32.0,0.103703703704,2.33333333333
1984,2,Sheep Canyon,21.7625,76.7458333333,41.0416666667,30.9583333333,35.875,0.458333333333,2.45833333333
1984,2,Spencer Meadow,14.8310344828,64.3931034483,40.4827586207,16.5172413793,29.8793103448,0.407407407407,2.44827586207
1984,2,Surprise Lakes,38.0535714286,63.1892857143,32.2142857143,20.9285714286,25.8214285714,0.428571428571,2.5
1984,3,Fish Lake,27.2677419355,42.2903225806,32.0,32.0,32.0,0.187096774194,2.54838709677
1984,3,Grouse Camp,16.6541666667,22.6541666667,37.2916666667,22.875,29.2916666667,0.141666666667,2.83333333333
1984,3,Sheep Canyon,33.6806451613,90.4677419355,42.7096774194,30.935483871,35.7741935484,0.474193548387,2.54838709677
1984,3,Spencer Meadow,19.3548387097,77.4322580645,42.064516129,16.8387096774,30.7419354839,0.474193548387,2.54838709677
1984,3,Surprise Lakes,50.5851851852,76.0333333333,38.4814814815,24.2962962963,29.4814814815,0.366666666667,2.55555555556
1984,4,Fish Lake,30.5766666667,47.6066666667,32.0,32.0,32.0,0.1,2.5
1984,4,Grouse Camp,17.8344827586,26.8275862069,37.5172413793,19.8275862069,28.3793103448,0.110344827586,2.55172413793
1984,4,Sheep Canyon,43.1631578947,103.636842105,41.0,29.3684210526,34.1052631579,0.289473684211,2.10526315789
1984,4,Spencer Meadow,22.919047619,89.2476190476,38.3333333333,21.0,29.9047619048,0.314285714286,2.04761904762
1984,4,Surprise Lakes,57.9777777778,88.037037037,35.6296296296,22.0740740741,27.3703703704,0.337037037037,2.51851851852
1984,5,Fish Lake,23.7533333333,52.0633333333,32.0,32.0,32.0,0.203333333333,2.56666666667
1984,5,Grouse Camp,9.26129032258,28.5806451613,42.7096774194,24.935483871,33.3225806452,0.0387096774194,2.54838709677
1984,5,Sheep Canyon,45.919047619,117.466666667,47.380952381,33.1428571429,39.0476190476,0.261904761905,2.52380952381
1984,5,Surprise Lakes,56.9277777778,98.1444444444,39.3333333333,26.1666666667,31.2777777778,0.394444444444,2.38888888889
1984,6,Fish Lake,6.492,55.896,32.0,32.0,32.0,0.092,2.2
1984,6,Grouse Camp,0.0,29.876,52.96,33.48,42.76,0.048,2.24
1984,6,Sheep Canyon,0.433333333333,122.0,56.3333333333,41.3333333333,48.3333333333,0.0333333333333,4.0
1984,6,Spencer Meadow,0.0,105.410714286,55.7142857143,33.1428571429,43.0857142857,0.174074074074,2.57142857143
1984,6,Surprise Lakes,38.1636363636,104.963636364,44.8181818182,28.6363636364,35.7272727273,0.236363636364,1.81818181818
1984,7,Grouse Camp,0.0,30.9846153846,68.6153846154,47.3076923077,52.9230769231,0.0333333333333,3.61538461538
1984,7,Sheep Canyon,0.0,122.1,65.0,43.3333333333,54.0,0.0,2.0
1984,7,Spencer Meadow,0.0,107.9,72.1,38.0666666667,54.8,0.0,2.6
1984,7,Surprise Lakes,1.05,109.1,65.8888888889,36.7777777778,49.5555555556,0.0,2.16666666667
1984,8,Fish Lake,0.0,58.2941176471,74.6470588235,47.2941176471,59.0588235294,0.0294117647059,3.41176470588
1984,8,Grouse Camp,0.0,32.4633333333,66.2666666667,41.6,53.6666666667,0.0633333333333,2.5
1984,8,Sheep Canyon,0.0,122.1,60.4,41.6,50.2,0.06,4.0
1984,8,Spencer Meadow,0.0,107.9,65.5,38.1666666667,51.9666666667,0.0,2.53333333333
1984,8,Surprise Lakes,0.0,109.174074074,73.8148148148,41.7407407407,54.5925925926,0.0148148148148,2.62962962963
1984,9,Fish Lake,0.0,59.9428571429,63.7857142857,41.6428571429,50.4285714286,0.0857142857143,2.5
1984,9,Grouse Camp,0.472413793103,34.424137931,51.7586206897,28.5862068966,35.0551724138,0.1,2.55172413793
1984,9,Sasse Ridge,55.3,51.1052631579,35.3684210526,40.5789473684,0.0,,3.15789473684
1984,9,Sheep Canyon,0.0,125.296153846,58.2692307692,43.2307692308,49.3461538462,0.153846153846,2.38461538462
1984,9,Spencer Meadow,0.0,110.131034483,57.724137931,35.0,27.6965517241,0.177777777778,2.48275862069
1984,9,Surprise Lakes,0.0,113.411111111,62.5925925926,39.0740740741,48.5925925926,0.151851851852,2.59259259259
1985,1,Grouse Camp,10.8096774194,12.764516129,32.3225806452,2.16129032258,21.7096774194,0.0225806451613,2.54838709677
1985,1,June Lake,30.1588235294,65.2705882353,39.2941176471,26.7058823529,30.2411764706,0.03125,2.47058823529
1985,1,Lone Pine,24.135483871,38.8322580645,34.8387096774,25.3870967742,30.064516129,0.0433333333333,2.54838709677
1985,1,Sheep Canyon,33.9777777778,53.8111111111,28.0,15.8888888889,21.5555555556,0.0333333333333,2.88888888889
1985,1,Spencer Meadow,46.0533333333,41.8333333333,3.96666666667,29.9333333333,0.0933333333333,,2.6
1985,1,Surprise Lakes,44.0677419355,50.6677419355,75.8387096774,63.7741935484,69.3225806452,0.058064516129,2.54838709677
1985,10,Cougar Mountain,0.0466666666667,5.42,32.0,32.0,32.0,0.503333333333,1.06666666667
1985,10,Grouse Camp,0.270967741935,1.29032258065,41.8387096774,27.064516129,34.1290322581,0.116129032258,1.06451612903
1985,10,June Lake,0.041935483871,5.98387096774,47.6451612903,36.0322580645,41.3870967742,0.661290322581,1.06451612903
1985,10,Lone Pine,0.158064516129,3.83548387097,42.0967741935,34.6129032258,38.2903225806,0.361290322581,1.06451612903
1985,10,Sasse Ridge,0.251612903226,2.63225806452,40.4838709677,29.4516129032,34.4516129032,0.293548387097,1.06451612903
1985,10,Sheep Canyon,0.296774193548,5.28387096774,46.2903225806,34.064516129,39.9677419355,0.525806451613,1.06451612903
1985,10,Spirit Lake,0.0774193548387,5.18064516129,32.0,32.0,32.0,0.532258064516,1.06451612903
1985,10,Surprise Lakes,0.261290322581,3.00322580645,47.6774193548,30.3548387097,37.8064516129,0.316129032258,1.06451612903
1985,11,Cougar Mountain,2.464,27.144,32.0,32.0,32.0,0.504,1.08
1985,11,Grouse Camp,3.52333333333,7.97,21.6333333333,7.36666666667,14.8666666667,0.243333333333,1.06666666667
1985,11,June Lake,3.66,33.6233333333,29.7333333333,20.3,24.9,0.656666666667,1.06666666667
1985,11,Lone Pine,3.05666666667,16.4133333333,26.4666666667,18.4666666667,23.1333333333,0.276666666667,1.06666666667
1985,11,Sasse Ridge,3.26666666667,13.7533333333,22.6,10.3333333333,15.8333333333,0.29,1.06666666667
1985,11,Sheep Canyon,4.67333333333,24.62,29.5,20.0666666667,24.5666666667,0.426666666667,1.06666666667
1985,11,Spirit Lake,1.77142857143,20.8142857143,32.0,32.0,32.0,0.260714285714,1.07142857143
1985,11,Surprise Lakes,6.00333333333,19.1033333333,41.2333333333,28.3,34.6666666667,0.53,1.06666666667
1985,12,Cougar Mountain,5.86129032258,33.5387096774,32.0,32.0,32.0,0.0935483870968,1.06451612903
1985,12,Grouse Camp,8.2935483871,12.6580645161,36.2580645161,19.0322580645,26.7741935484,0.0645161290323,1.06451612903
1985,12,June Lake,9.9935483871,45.6516129032,43.2903225806,30.6129032258,36.4193548387,0.235483870968,1.06451612903
1985,12,Lone Pine,8.37741935484,23.8161290323,35.4516129032,27.6451612903,31.7096774194,0.2,1.06451612903
1985,12,Sasse Ridge,9.47096774194,20.3806451613,28.9677419355,14.3225806452,21.5806451613,0.106451612903,1.06451612903
1985,12,Sheep Canyon,12.0225806452,32.9709677419,45.935483871,32.6774193548,37.7741935484,0.206451612903,1.06451612903
1985,12,Spencer Meadow,7.01111111111,25.9,65.3333333333,30.6666666667,45.2222222222,0.0555555555556,1.0
1985,12,Spirit Lake,0.6,25.8777777778,32.0,32.0,32.0,0.366666666667,1.22222222222
1985,12,Surprise Lakes,14.6,27.5258064516,54.5483870968,35.2258064516,43.935483871,0.0903225806452,1.06451612903
1985,2,Grouse Camp,12.5571428571,15.1214285714,27.1428571429,-0.5,17.75,0.110714285714,2.39285714286
1985,2,June Lake,38.6285714286,74.5071428571,36.8571428571,24.8928571429,30.0714285714,0.528571428571,2.39285714286
1985,2,Lone Pine,29.6071428571,45.1321428571,31.7142857143,22.75,27.5357142857,0.325,2.39285714286
1985,2,Sasse Ridge,26.08125,29.8125,33.5625,20.5,25.6875,0.1625,3.125
1985,2,Sheep Canyon,41.8571428571,61.7571428571,34.3333333333,21.9047619048,27.0952380952,0.485714285714,2.0
1985,2,Spencer Meadow,52.6642857143,41.5357142857,10.2142857143,31.9642857143,0.35,,2.39285714286
1985,2,Surprise Lakes,48.8035714286,55.5785714286,61.6785714286,47.2142857143,52.5714285714,0.267857142857,2.39285714286
1985,3,Grouse Camp,15.0258064516,17.3419354839,34.2903225806,7.61290322581,23.3548387097,0.0903225806452,2.54838709677
1985,3,June Lake,47.1387096774,86.464516129,40.7096774194,27.7419354839,33.5161290323,0.609677419355,2.54838709677
1985,3,Lone Pine,35.1225806452,51.0612903226,34.6774193548,24.3225806452,29.4193548387,0.21935483871,2.54838709677
1985,3,Sasse Ridge,28.88,32.76,32.7,17.3,22.4,0.21,1.3
1985,3,Sheep Canyon,51.2857142857,72.7928571429,41.7142857143,27.2142857143,33.4285714286,0.214285714286,2.78571428571
1985,3,Spencer Meadow,59.464516129,42.7419354839,18.8064516129,32.6129032258,0.332258064516,,2.54838709677
1985,3,Surprise Lakes,49.4709677419,61.964516129,27.4516129032,6.61290322581,15.6129032258,0.335483870968,2.54838709677
1985,4,Grouse Camp,10.1066666667,19.4533333333,43.0333333333,14.4,32.4,0.04,2.5
1985,4,June Lake,43.06,103.593333333,49.0333333333,33.6,40.6666666667,0.393333333333,2.5
1985,4,Lone Pine,35.3068965517,57.6620689655,39.2068965517,29.6551724138,34.3103448276,0.210344827586,2.44827586207
1985,4,Sasse Ridge,30.02,41.365,38.15,22.15,28.55,0.27,3.1
