Year,Month,WeekNum,Snow Water Equivalent (in),Precipitation Accumulation (in),Air Temperature Maximum (degF),Air Temperature Minimum (degF),Air Temperature Average (degF),Precipitation Increment (in)
1980,10,1.0,0.0,0.21724137931,32.0,32.0,32.0,0.0344827586207
1980,10,2.0,0.0,0.0,32.0,32.0,32.0,0.0
1980,11,1.0,0.574074074074,9.92962962963,32.0,32.0,32.0,0.551851851852
1980,11,2.0,0.0,9.5,32.0,32.0,32.0,0.7
1980,12,1.0,12.0224489796,26.2714285714,32.0,32.0,18.7591836735,0.310714285714
1980,12,2.0,7.2,21.1,32.0,32.0,32.0,0.0
1981,1,1.0,19.7785714286,29.2571428571,32.0,32.0,16.0071428571,0.157142857143
1981,1,2.0,18.9866666667,29.8333333333,32.0,32.0,17.0933333333,0.2375
1981,1,3.0,14.9916666667,30.0583333333,32.0,32.0,21.35,0.0375
1981,1,4.0,9.04444444444,29.7555555556,32.0,32.0,28.5444444444,0.05
1981,10,1.0,0.0973684210526,6.53421052632,34.0789473684,30.6578947368,32.0789473684,0.378947368421
1981,10,2.0,0.2,7.85,36.5,31.0,33.5,0.65
1981,11,1.0,2.43035714286,17.2964285714,32.0,32.0,32.0,0.467857142857
1981,11,2.0,0.0,11.5,32.0,32.0,32.0,0.0
1981,12,1.0,14.3081632653,36.6081632653,32.0,32.0,32.0,0.765306122449
1981,12,2.0,11.2,33.675,32.0,32.0,32.0,0.325
1981,2,1.0,20.6166666667,31.1416666667,32.0,32.0,18.6916666667,0.157142857143
1981,2,2.0,24.5625,32.14375,32.0,32.0,16.55625,0.2375
1981,2,3.0,32.1,32.58125,32.0,32.0,16.575,0.125
1981,2,4.0,34.68,32.93,32.0,32.0,16.09,0.18
1981,3,1.0,34.9285714286,33.7785714286,32.0,32.0,16.0857142857,0.342857142857
1981,3,2.0,25.3833333333,36.5916666667,32.0,32.0,21.3416666667,0.5
1981,3,3.0,22.2272727273,38.6272727273,32.0,32.0,23.3727272727,0.0625
1981,3,4.0,36.56875,37.25,32.0,32.0,16.34375,0.4
1981,4,1.0,35.0833333333,39.725,32.0,32.0,18.9166666667,0.242857142857
1981,4,2.0,14.0125,48.8625,32.0,32.0,32.0,0.45
1981,4,3.0,14.3125,51.0125,32.0,32.0,32.0,0.275
1981,4,4.0,12.75,52.8666666667,32.0,32.0,32.0,0.116666666667
