SensorName,Year,Month,WeekNum,Snow Water Equivalent (in),Precipitation Accumulation (in),Air Temperature Maximum (degF),Air Temperature Minimum (degF),Air Temperature Average (degF),Precipitation Increment (in)
Alpine Meadows,1994,10,1.0,0.237931034483,3.86896551724,47.4827586207,35.3793103448,39.8965517241,0.575862068966
Alpine Meadows,1994,10,2.0,0.0,0.0,66.5,45.5,52.0,0.0
Alpine Meadows,1994,11,1.0,12.5821428571,28.3571428571,33.0,25.1071428571,28.7142857143,0.95
Alpine Meadows,1994,11,2.0,8.4,23.1,35.0,30.5,32.0,0.4
Alpine Meadows,1994,12,1.0,28.5655172414,55.6,34.5172413793,26.4482758621,29.7586206897,0.762068965517
Alpine Meadows,1994,12,2.0,26.35,48.2,30.0,23.0,26.5,1.35
Alpine Meadows,1995,1,1.0,31.4714285714,68.9,40.0,25.7142857143,30.4285714286,0.0
Alpine Meadows,1995,1,2.0,32.1375,70.5125,36.5,31.875,33.875,0.475
Alpine Meadows,1995,1,3.0,34.1125,75.4,41.375,29.875,33.625,0.45
Alpine Meadows,1995,1,4.0,34.8875,77.025,43.75,32.75,36.75,0.9125
Alpine Meadows,1995,10,1.0,0.0,13.8310344828,47.6206896552,34.9655172414,39.3448275862,0.727586206897
Alpine Meadows,1995,10,2.0,0.0,4.6,44.0,38.5,41.0,1.15
Alpine Meadows,1995,11,1.0,0.467857142857,42.6,44.3571428571,34.6428571429,38.6785714286,1.52142857143
Alpine Meadows,1995,11,2.0,1.55,35.4,38.5,28.5,34.5,2.1
Alpine Meadows,1995,12,1.0,3.91034482759,79.2724137931,37.5862068966,30.2413793103,33.0344827586,0.534482758621
Alpine Meadows,1995,12,2.0,3.6,75.35,34.0,20.5,27.0,0.45
Alpine Meadows,1995,2,1.0,33.0714285714,84.4714285714,45.2857142857,34.7142857143,39.0,0.171428571429
Alpine Meadows,1995,2,2.0,31.8875,85.4125,36.75,21.875,26.875,0.2375
Alpine Meadows,1995,2,3.0,34.9375,94.15,45.625,33.25,37.875,1.5625
Alpine Meadows,1995,2,4.0,32.98,99.58,44.6,27.6,33.2,0.1
Alpine Meadows,1995,3,1.0,33.6142857143,100.371428571,39.5714285714,24.2857142857,28.8571428571,0.242857142857
Alpine Meadows,1995,3,2.0,35.4125,105.05,39.125,31.875,35.125,0.9375
Alpine Meadows,1995,3,3.0,35.6,110.475,41.25,29.375,33.25,0.4375
Alpine Meadows,1995,3,4.0,36.2875,113.275,54.0,30.0,37.5,0.1875
Alpine Meadows,1995,4,1.0,36.7142857143,114.914285714,47.0,31.0,36.2857142857,0.342857142857
Alpine Meadows,1995,4,2.0,37.95,118.3625,42.0,28.125,32.5,0.55
Alpine Meadows,1995,4,3.0,40.4875,122.225,49.375,30.5,36.375,0.3
Alpine Meadows,1995,4,4.0,39.9428571429,123.171428571,56.4285714286,36.4285714286,43.5714285714,0.0571428571429
Alpine Meadows,1995,5,1.0,36.6571428571,124.728571429,45.4285714286,35.5714285714,39.2857142857,0.314285714286
Alpine Meadows,1995,5,2.0,32.7625,127.1125,55.375,38.0,44.5,0.325
Alpine Meadows,1995,5,3.0,25.6125,128.4625,57.75,39.25,47.0,0.025
Alpine Meadows,1995,5,4.0,14.2125,128.5,69.25,46.625,55.625,0.0
Alpine Meadows,1995,6,1.0,2.7,128.785714286,55.8571428571,38.4285714286,46.2857142857,0.228571428571
Alpine Meadows,1995,6,2.0,0.0625,130.9625,57.625,41.25,48.125,0.275
Alpine Meadows,1995,6,3.0,0.0,133.4125,52.0,41.25,45.5,0.325
Alpine Meadows,1995,6,4.0,0.0,134.9,74.1428571429,51.4285714286,61.1428571429,0.0
Alpine Meadows,1995,7,1.0,0.0,136.1,62.1428571429,48.1428571429,53.4285714286,0.328571428571
Alpine Meadows,1995,7,2.0,0.0,138.075,62.375,45.125,52.0,0.1375
Alpine Meadows,1995,7,3.0,0.0,138.3,72.25,54.0,61.625,0.0
Alpine Meadows,1995,7,4.0,0.0,139.35,62.625,45.0,52.125,0.2
Alpine Meadows,1995,8,1.0,0.0,140.085714286,62.8571428571,47.1428571429,53.4285714286,0.628571428571
Alpine Meadows,1995,8,2.0,0.0,144.875,56.0,42.5,47.875,0.2
Alpine Meadows,1995,8,3.0,0.0,147.4875,61.625,43.75,50.625,0.275
Alpine Meadows,1995,8,4.0,0.0,148.1,64.125,43.125,45.0,0.0285714285714
Alpine Meadows,1995,9,1.0,0.0,148.342857143,67.2857142857,49.7142857143,55.7142857143,0.0285714285714
Alpine Meadows,1995,9,2.0,0.0,148.675,76.375,52.125,59.75,0.025
Alpine Meadows,1995,9,3.0,0.0,148.7,67.5,48.625,55.125,0.0
Alpine Meadows,1995,9,4.0,0.0,149.771428571,54.2857142857,43.5714285714,47.4285714286,0.7
Alpine Meadows,1996,1,1.0,5.57142857143,90.3285714286,37.2857142857,31.4285714286,34.7142857143,1.62857142857
Alpine Meadows,1996,1,2.0,6.6375,99.7875,40.125,32.625,36.25,1.05
Alpine Meadows,1996,1,3.0,8.52857142857,109.157142857,28.1428571429,22.8571428571,25.1428571429,0.785714285714
